Tên,Link,Địa chỉ,Đánh giá,Số review,Mô tả ngắn,Giờ mở cửa,Giá tiền,Bình luận 1,Bình luận 2,Bình luận 3
Cô Nương - Quán Ăn Vặt,https://www.foody.vn/da-nang/co-nuong-quan-an-vat,"66/1 Ông Ích Đường, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.0,29,"Ăn vặt/vỉa hè-Món Quảng- Sinh viên, Nhóm hội",14:00 - 21:30,10.000đ -25.000đ,"6.6Cô Nương - Quán Ăn VặtQuán ăn vặt - Cô Nương 66 / 1 Ông Ích Đường - Quận Cẩm Lệ - TP Đà Nẵng.
Quán nhỏ , k có chỗ để xe , bàn ghế khá cũ kĩ , nhìn hơi mất vệ sinh một tí. Mình k biết nhân viên hay chủ mà kiểu làm việc cứ lề mề í , k nhanh nhẹn cho lắm , mình đợi lâu quá nên hối và kết quả cứ gục cho qua rồi vẫn làm cho khách đến sau. Điểm cộng là đồ ăn ở quán này khá rẻ ,vị cũng ổn rất hợp cho hc sinh, sinh viên....Xem thêm","8.4Quán lâu năm, tay nghề đảm bảoQuán này ai ở khu Cẩm Lệ chắc đều nghe đến. Từ thời học cấp ba đã ghé quán rồi. Đồ ăn vặt ở đây không thể soi mói gì nữa, đến nhiều lần nhưng ít khi không thấy hài lòng 😍 Quán vị trí cũng dễ tìm vì đầu hẻm thôi, vệ sinh sạch sẽ và phục vụ nhanh chóng. Từ đồ ăn đến nước uống mình đều thích hết, đặc biệt mê thạch trà sữa ở đây làm, lúc nào đến cũng gọi trà sữa pudding 😂. Điểm trừ duy nhất của quán là không có chổ đậu xe thôi, mọi người định đi nhóm thì nên kế hoạch số lượng xe trước....Xem thêm","5.0Cô Nương - Quán Ăn VặtMình thấy ở gần nơi gia đình mới dọn đến ở nên ghé ăn thử, những món ăn cũng tạm đc, nhưng nhìn cách mấy em nhân viên cùng cô chú làm đồ ăn tay ko làm tay ko thối tiền tay ko lau dọn thì không hợp vệ sinh lắm, gọi một lèo cả mấy món nhưng đều bỏ dở vì ko đủ can đảm ăn hết đc, mong quán khắc phục...Xem thêm"
Phố Cổ Hà Nội - Nem Chua Rán Số 1 - Ông Ích Đường,https://www.foody.vn/da-nang/pho-co-ha-noi-nem-chua-ran-so-1-ong-ich-duong,"61 Ông Ích Đường, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.3,49,"Ăn vặt/vỉa hè-Hà Nội- Sinh viên, Cặp đôi, Nhóm hội-Chi nhánh",17:00 - 22:00,6.000đ -119.000đ,"5.0Thắc mắcNãy mình có đặt đơn 94k mà trời mưa tối nên ko mở ra ktra xách vào nhà mở ra thì thấy đơn giao thiếu hơn 40k,chán thật ko pít là bên shiper giao xót hay bên quán làm thiếu nữa!...Xem thêm","5.8Phố Cổ Hà Nội - Nem Chua Rán Số 1 - Ông Ích ĐườngĐồ ăn khá ổn nhưng quán khiến tôi rất bực mình ở khâu phục vụ. Tôi đặt món ăn qua Now nhưng quán lại sót mất một phần, tuy nói đồ ăn vặt thì không bao nhiêu nhưng chính vì sự phục vụ đơn hàng thiếu tận tâm này mà bé nhà tôi không có khẩu phần mình đã chọn. Mong quán xem xét lại và cẩn thận hơn với những đơn hàng!...Xem thêm","9.6Quán ăn guộc của nhà emQuán cũng khá gần nơi sống , không gian hẹp nhưng luôn thoáng mát. Quán lúc nào cũng đông khách, trời mưa nhìn thôi đã xít xoa không tưởng. Vị trí gần trung tâm ăn uống nên thuận tiện và là địa điểm hot thu hút giới trẻ lẫn người lớn tuổi. Món ăn ngon đặc biệt là món tủ Nem*** Ăn một mình một phần là tuyệt cú mèo luôn. Giá lại rẻ, lại được tích hợp với now không cần đi đâu cũng được now ship tận nhà nè. Mọi người nên thử và cảm nhận nhé...Xem thêm"
Chè Cung Đình - Ông Ích Đường,https://www.foody.vn/da-nang/che-cung-dinh-ong-ich-duong,"271A Ông Ích Đường, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.0,3,"Ăn vặt/vỉa hè-Món Huế- Sinh viên, Nhóm hội, Giới văn phòng",09:00 - 22:00,10.000đ -15.000đ,"10Chè Cung Đình - Ông Ích ĐườngKhi bạn đọc comment này, bạn đã có thông tin của 1 trong những hành trình tuyệt vời với nhân viên thân thiện, nhiệt tình tư vấn tour Tham quan Đà Nẵng- Hội An- Huế tiết kiệm với tour ghép đoàn Tuấn Dũng Travel. Thiết kế tour theo ý khách.
🌎 16 Phạm Kiệt- Ngũ Hành Sơn- Đà Nẵng
📲 Lh: 0934787036 Tuấn tour...Xem thêm","4.4Chè ngọt quáOrder 3 món: chè trôi nước, chè đậu xanh đánh, chè đậu ván mà ko hài lòng món nào, quá ngọt, ăn xong uống nước lọc vô vẫn ko lấy lại được cân bằng....Xem thêm","6.6Chè ngon quán sạchMình hay ăn chè ở đây, nói chung là ngon, hồi trước có an xoa xoa nhưng cảm giác hơi sợ xí, còn lại các loại chè đều ngon, khi vực Cẩm Lệ mỗi quán này là được nhất, nên ủng hộ quán, có điều không biết hưởng hiệu từ đâu ra hay tự đặt tên...Xem thêm"
Đồng Tiến Bakery - Ông Ích Đường,https://www.foody.vn/da-nang/dong-tien-bakery-ong-ich-duong,"94 Ông ích Đường,Quận Cẩm Lệ,Đà Nẵng",6.7,16,"Tiệm bánh-Món Việt- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",05:30 - 22:30,15.000đ -110.000đ,"8.0Giao nhầm mónMình đặt 4 loại bánh, trong đó có jambon vuông và bánh phô mai, nhưng lúc ship đến thì lại là hot dog chiên và bánh ngọt gì đó. Đề nghị lần tới soạn hàng nhân viên chú ý hơn nhé....Xem thêm","6.2Đồng Tiến Bakery - Ông Ích ĐườngHí hí, thương hiệu Đồng tiến ở Đà Nẵng thì quá nhiều người biết rồi mà, phải không??
Tiệm này ở gần nhà mình nên hay qua mua ăn lắm. Nói về các loại bánh ngọt thì khá ngon, hôm trước mình lấy bánh quế với cả bánh dừa. Ăn ngon lắm, bỏ trong bao bì sạch sẽ trương tring tủ thích lấy cái nào thì lấy. Bánh quế có ruột khá mềm và ở trên phủ bột quế và đường khá nhiều nhìn hấp dẫn mình lắm. Còn bánh dừa khá là ngon và chất lượng ở phần dừa còn có vụn dừa nhai sụn sụn ngon lắm
Còn gí các loại bánh thù rất bình dân, rẻ là đằng khác ấy...Xem thêm","4.8Đồng Tiến Bakery - Ông Ích ĐườngKiểu quán này gần nhà nên cũng hay mua.
Vinh của bànhi chả, mì ốp la của đồng tiến thì mình cũbg không thích mấy
Ở đâh làm bánh kem giá cả cũng tốt, bánh cũng khá đẹp. Nhưng có cái là lúc mình lên đặt bánh, mình tưởng chỉ có những bánh ở trong lồng kính thâu. Không đặt bánh mới đc vì tưởng như vậy thì họ phải làm mẻ mới. Đến lúc mình lấy bánh thì họ mới kêu có thể làm kiểu khác nữa, rồi đưa cuốn kiểu vánh cho mình. Ôi lúc ấy kiểu héo queo ấy.
Thêm cái mình không thích ở chổ này. Hôm trước mình ăn chay nên chạy ra mua hai mì không về ăn, chị đó kêu chờ 5' mới có. Mình cũng ráng đợi vậy là sau mình có thêm cái ông đó mua 10ổ, chị nào đó mua 5ổ. Đợi tới giờ bánh ra lò, rõ ràng mình đến trước và chờ vậy mà cái cô bán, vẫn bơ mình và bán cho hai người kia trước. Ủa mua ít là phải đợi hả, phục vụ gì lạ vậy. NGƯỜI BÁN NÊN THAY ĐỔI THÁI ĐỘ ĐI NHÉ 😭😭😠😠😠...Xem thêm"
iệt v,https://www.foody.vn/da-nang/heo-toc-nguyen-huu-tho,"586 Nguyễn Hữu Thọ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.2,11,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội",15:00 - 23:00,55.000đ -90.000đ,"10Ngon sạchĐồ ăn ngon, quán sạch sẽ, nhân viên nhiệt tình vui vẻ...Xem thêm","5.0Heo Tộc -***Đồ ăn ngon, giá cả phải chăng...Xem thêm",5.0Heo Tộc -***Món ăn rất ngon không gian quán thì rất đẹp quá tuyệt vời...Xem thêm
Ốc Hút Cây Bàng,https://www.foody.vn/da-nang/oc-hut-cay-bang,"59 Ông Ích Đường, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.4,26,Quán ăn-Món Quảng- Nhóm hội,15:00 - 22:00,15.000đ -25.000đ,"3.4Đồ thiu vẩn shipMít trộn bỏ tủ lạnh bị thiu vẩn đem đi ship. ko hiểu làm ăn kiểu gif
Ốc hút ngon. ko ý kiến...Xem thêm","7.4Ốc Hút Cây BàngỐc hút, mít trộn ngon...Xem thêm","8.8Ốc hútQuán ốc hút lâu đời nằm trên khu gần nhà bạn mình, mỗi khi lên đây thì mình đều ghé quán này, mỗi lần đến đều ăn mỗi mon khác nhau có ốc hút là luôn gọi, best seller quán này luôn là ốc hút xin nhiều nước mắm gừng để chấm là best luôn, đu đủ kèm theo chua chua giòn giòn thêm chút hành phi thơm, ngoài ra quán có bán thêm rất nhiều món, yaourt muối cũng ngon lắm, giá một dĩa tầm 50k , đi ăn 2 người tầm 130k là bao no luôn, vì ở xa nên lâu lâu mới có dịp ăn lại, có cơ hội sẽ ghé ủng hộ quán nè...Xem thêm"
Bún Đậu Mắm Tôm Phất Lộc 1 - Trần Phước Thành,https://www.foody.vn/da-nang/bun-dau-mam-tom-phat-loc-1-tran-phuoc-thanh,"21 Trần Phước Thành, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.8,30,"Quán ăn-Món Bắc- Cặp đôi, Gia đình, Giới văn phòng-Chi nhánh",11:00 - 22:00,10.000đ -50.000đ,3.8Rất thất vọngNhận hàng mà rau như đồ bỏ đi vậy cũng bỏ vào cho khách bán là sao vây? Đây ko phải là gato hay dèm  shop ngưng thất vọng...Xem thêm,"1.0QUÁ LÂUQuán làm ăn gì mà đợi hơn 30p vẫn không có đồ ăn.  Vài quán bàn khác chưa có đồ ăn,  đợi đến lúc họ ăn xong về mình còn chưa có đồ ăn nữa.  Quá tệ...Xem thêm","8.8Bún Đậu Mắm Tôm Phất Lộc - Trần Phước ThànhMình hay đặt Now chứ chưa đi ăn trực tiếp, cơ mà đặt một lần là nghiện luôn. Bún ngon, topping nhiều cực, lại hay có mã giảm giá, lần đầu mình thích 1 quán bún đậu như thế này. 
Mong quán luôn giữ vững chất lượng ^*...Xem thêm"
"Highlands Coffee - Trà, Cà Phê & Bánh - Nguyễn Hữu Thọ",https://www.foody.vn/da-nang/highlands-coffee-tra-ca-phe-banh-nguyen-huu-tho,"363 Nguyễn Hữu Thọ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.5,29,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",07:00 - 21:00,29.000đ -50.000đ,"7.4Highlands Coffee -***Mình và con bạn là hai đứa nghiện freeze của highland, mỗi lần đến là auto một đứa socola và một đứa trà xanh, freeze béo béo, thơm thơm, lớp kem đặc biệt ngon, thèm quá nhiều lúc còn order về lúc tối muộn.Ngoài ra mình còn hay gọi trà sen vàng uống để đổi vị nữa, vị trà nhàn nhạt, với ít hạt sen bùi bùi rất hợp với nhau, đây cũng là một trong những best seller của quán. Ở chi nhánh này mình thấy vị pha không quá ngọt, nhân viên thì nhiệt tình niềm nở, không gian thoáng đãng mát mẻ thích hợp để tránh nắng, sẽ còn ghé quán dài dài...Xem thêm","8.0Highlands Coffee -***Cuối tuần nên có bạn mình nó rủ đi highlands nè. Ngồi quán này vì đang tiện đường á, nằm ở đoạn***-***cuối tuần nên khách đông kinh, gần như là full bàn đó, khách đông nên khá ồn ào, nhưng phục vụ vẫn khá nhanh nhẹn. Mình đi nhóm 4 đứa nên gọi 4 ly : cafe sữa, trà sữa trà xanh, trà sen vàng nóng & trà sen vàng đá.
ly của mình trà sữa trà xanh, vị hơi ngọt nhưng mùi khá thơm, rất nghiện mùi này luôn, highlands uống nhiều rồi nên cũng chả biết review gì nhiều á
giá cả tầm 39k - 59k...Xem thêm","9.2Trà sen vàngHệ thống highland có tận mấy chục quán mà đa số đều như nhau nhưng mình lại muốn đi đến tất cả các chi nhánh ở đà nẵng, lần này có dịp ghé cửa hàng ở*** quán có không gian siêu thoáng luôn, về đồ uống mình không nói gì nhiều ngoài trà sen vàng siêu thơm ngon giá 39k ly, nhân viên phục vụ nhiệt tình, kem sữa ở đây ngon, khác lạ, sen nhiều lúc hơi bị cứng chút , quán luôn luôn đông khách vào cuối tuần, nếu có dịp sẽ ghé lại chi nhánh này nè tại nhà hơi xa nên chỉ tiện đường ghé thôi...Xem thêm"
Tiệm Nhà Nhung - Chân Gà Sốt Thái - Hoàng Dư Khương,https://www.foody.vn/da-nang/tiem-nha-nhung-chan-ga-sot-thai-hoang-du-khuong,"106 Hoàng Dư Khương, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.3,11,"Shop Online-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",09:00 - 22:00,8.000đ -150.000đ,5.0Ngon nhưng giao nhầmMình đặt chân gà rút xương nhưng lại giao có xương và vẫn thu tiền như rút xương....Xem thêm,"7.8Ăn ngon đượcNói chung ăn ngon, chua, cay, giòn. Nhưng phụ huynh chửi bới quá trời. Bảo chân gà Trung Quốc này nọ vứt đi. Nói chung hội phụ huynh không thích :(...Xem thêm","9.0NgonĂn nhiều chỗ rồi mà chỗ này là ưng ý nhất, mình oder gà rút xương cho đỡ gặm bằng tay, sốt rất thấm, vị chua mặn ngọt vừa ăn. Định bụng ăn 1 nửa rồi để CN ở nhà nhấm nháp mà cuối cùng 1 mình xơi hết trong 1 buổi tối. Oder thêm cốc nước dâu tằm có cả thạch và trân châu trắng cũng ngon luôn. Ủng hộ dài dài....Xem thêm"
Anh Quân Bakery - Tôn Đản,https://www.foody.vn/da-nang/anh-quan-bakery-ton-dan,"478 Tôn Đản, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",5.1,6,"Tiệm bánh-Món Việt- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",06:00 - 22:00,5.000đ -500.000đ,1.0Hết sức tệThái độ quá tệ...Xem thêm,"2.6Xem lại thái độ nhân viênSáng đi mua bánh mì ăn mà nuốt k trôi cục tức :) thái độ quá đáng, mình k có tiền lẻ nên đưa tờ 500 cho nv, ví dụ như k có thì hỏi lại có tiền lẻ k :) nếu có thì thối cho khách. Việc gì mà chị phải cầm tờ 50@ của tôi đập xuống bàn còn lườm tôi, tôi đi mua chứ đâu đi xin?? Xem lại thái độ nhé!...Xem thêm","3.0Quá tệSáng 11/6 mình có đặt 1 bánh hotdog ( không rau không ớt)  , 1 bánh mì chả, 1 bánh bông lan mặn,  1 bánh donut.  Mọi thứ đều bình thường cho đến bánh hotdog, mình đã dặn dò là không rau không ớt nhưng lại cho rất nhiều rau và phần bánh mì thì có kiến hôi ( kiến đen)  rất nhiều,  nhân bên trong rất sơ sài. Bánh bông lan mặn thì vẫn có kiến hôi ( kiến đen)  mùi rất khó chịu. Mong Anh Quân Bakery khắc phục vấn đề này....Xem thêm"
