Tên,Địa chỉ,Đánh giá,Mô tả ngắn,Giờ mở cửa,Giá tiền
Cô Nương - Quán Ăn Vặt,"66/1 Ông Ích Đường, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.0,"Ăn vặt/vỉa hè-Món Quảng- Sinh viên, Nhóm hội",14:00 - 21:30,10.000đ -25.000đ
Phố Cổ Hà Nội - Nem Chua Rán Số 1 - Ông Ích Đường,"61 Ông Ích Đường, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.3,"Ăn vặt/vỉa hè-Hà Nội- Sinh viên, Cặp đôi, Nhóm hội-Chi nhánh",17:00 - 22:00,6.000đ -119.000đ
Chè Cung Đình - Ông Ích Đường,"271A Ông Ích Đường, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.0,"Ăn vặt/vỉa hè-Món Huế- Sinh viên, Nhóm hội, Giới văn phòng",09:00 - 22:00,10.000đ -15.000đ
Đồng Tiến Bakery - Ông Ích Đường,"94 Ông ích Đường,Quận Cẩm Lệ,Đà Nẵng",6.7,"Tiệm bánh-Món Việt- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",05:30 - 22:30,15.000đ -110.000đ
iệt v,"586 Nguyễn Hữu Thọ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.2,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội",15:00 - 23:00,55.000đ -90.000đ
Ốc Hút Cây Bàng,"59 Ông Ích Đường, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.4,Quán ăn-Món Quảng- Nhóm hội,15:00 - 22:00,15.000đ -25.000đ
Bún Đậu Mắm Tôm Phất Lộc 1 - Trần Phước Thành,"21 Trần Phước Thành, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.8,"Quán ăn-Món Bắc- Cặp đôi, Gia đình, Giới văn phòng-Chi nhánh",11:00 - 22:00,10.000đ -50.000đ
"Highlands Coffee - Trà, Cà Phê & Bánh - Nguyễn Hữu Thọ","363 Nguyễn Hữu Thọ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.5,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",07:00 - 21:00,29.000đ -50.000đ
Tiệm Nhà Nhung - Chân Gà Sốt Thái - Hoàng Dư Khương,"106 Hoàng Dư Khương, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.3,"Shop Online-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",09:00 - 22:00,8.000đ -150.000đ
Anh Quân Bakery - Tôn Đản,"478 Tôn Đản, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",5.1,"Tiệm bánh-Món Việt- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",06:00 - 22:00,5.000đ -500.000đ
Trà Sữa & Ăn Vặt - HB,"47 Văn Tiến Dũng, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",10.0,Café/Dessert,17:30 - 22:00,10.000đ -35.000đ
Dì Hà - Bún Chả Cá - Nguyễn Như Đãi,"7 Nguyễn Như Đãi, P. Hòa Thọ Tây,Quận Cẩm Lệ,Đà Nẵng",8.3,"Ăn vặt/vỉa hè-Món Miền Trung- Gia đình, Nhóm hội",06:00 - 16:00,10.000đ -30.000đ
Trà Sữa & Ăn Vặt - CHEN,"40 Lỗ Giáng 11,Quận Cẩm Lệ,Đà Nẵng",8.7,"Shop Online-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",09:00 - 21:00,50.000đ -100.000đ
Cháo Dinh Dưỡng Và Súp Tú Quỳnh 2,"161 Văn Tiến Dũng, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",10.0,"Quán ăn-Món Việt- Gia đình, Giới văn phòng, Trẻ em",06:00 - 19:30,10.000đ -15.000đ
Kem Dừa Mã Lai - Quách Thị Trang,"23 Quách Thị Trang, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",8.8,"Café/Dessert-Món Miền Nam- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",15:00 - 22:00,10.000đ -25.000đ
Trà Sữa 52,"52 Bùi Xương Trạch, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.3,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Nhóm hội, Giới văn phòng",15:00 - 22:00,5.000đ -20.000đ
Bánh Kem Kiều Trang,"130 Phạm Tứ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",9.4,"Tiệm bánh-Món Việt- Cặp đôi, Gia đình, Nhóm hội",07:00 - 21:00,150.000đ -1.000.000đ
Oh My Coffee,"1 Nguyễn Nhàn, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",10.0,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",06:00 - 22:00,12.000đ -45.000đ
Quán Chay Hạnh Nguyện,"188 Lý Nhân Tông, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",5.7,"Ăn chay-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:30 - 21:00,10.000đ -20.000đ
Bé Vân - Gỏi Cá Trích,"Lô B3 Khu B1 Thăng Long, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",5.0,"Quán ăn,Quán nhậu-Món Việt- Cặp đôi, Gia đình, Nhóm hội",10:00 - 22:30,40.000đ -180.000đ
Phở Lý Quốc Sư - Nguyễn Phước Lan,"199 Nguyễn Phước Lan, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",8.1,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",05:30 - 12:00,35.000đ -55.000đ
Pizza Time - 279 Võ An Ninh,"279 Võ An Ninh, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.2,"Quán ăn-Ý- Cặp đôi, Gia đình, Giới văn phòng-Chi nhánh",10:00 - 22:00,15.000đ -100.000đ
Quán Mậu - Bánh Tráng Thịt Heo,"35 Đỗ Thúc Tịnh,Quận Cẩm Lệ,Đà Nẵng",7.2,"Quán ăn-Món Quảng- Gia đình, Giới văn phòng, Khách du lịch",10:00 - 20:30,60.000đ -165.000đ
Sano's Garden - Coffee & Smoothie,"7 - 9 Nguyễn Nhàn, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.6,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",06:30 - 22:00,12.000đ -40.000đ
Cơm Gà Gia Trần 1 - Đinh Gia Trinh,"9 Đinh Gia Trinh, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.3,"Quán ăn-Món Việt- Gia đình, Giới văn phòng-Chi nhánh",10:00 - 21:00,20.000đ -45.000đ
Royaltea - Trà Sữa & Ăn Vặt - Cách Mạng Tháng 8,"K383/29 Cách Mạng Tháng 8,Quận Cẩm Lệ,Đà Nẵng",6.4,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",08:00 - 22:00,25.000đ -35.000đ
